postac_a,postac_b,sila
JACK,TYLER,40
JACK,MARLA,19
MARLA,TYLER,6
BOSS,JACK,5
BOB,JACK,4
ANGEL FACE,JACK,3
JACK,RICKY,3
JACK,MECHANIC,3
INTERN,JACK,2
EVERYONE,LEADER,2
CHLOE,LEADER,2
ANGEL FACE,RICKY,2
MECHANIC,RICKY,2
ANOTHER SPACE MONKEY,JACK,2
BOB,EVERYONE,1
BOB,LEADER,1
BOB,SPEAKER,1
EVERYONE,SPEAKER,1
LEADER,SPEAKER,1
CHLOE,EVERYONE,1
CHLOE,JACK,1
CHLOE,MARLA,1
JACK,LEADER,1
LEADER,MARLA,1
BUSINESS WOMAN,BUSISNESS WOMAN,1
BUSINESS WOMAN,JACK,1
BUSINESS WOMAN,TYLER,1
BUSISNESS WOMAN,JACK,1
BUSISNESS WOMAN,TYLER,1
JACK,SECURITY TFM,1
DOORMAN,JACK,1
BOSS,WALTER,1
GOATEED MAN,TYLER,1
JACK,OPPONENT,1
OPPONENT,TYLER,1
COP,MARLA,1
DETECTIVE STERN,JACK,1
DETECTIVE STERN,MARLA,1
DETECTIVE STERN,TYLER,1
BOSS,MARLA,1
LOU,TYLER,1
FIRST MAN,SECOND MAN,1
FIRST MAN,SEMINARIAN,1
SECOND MAN,SEMINARIAN,1
CLERK,JACK,1
CLERK,RAYMOND,1
CLERK,TYLER,1
JACK,RAYMOND,1
RAYMOND,TYLER,1
ANGEL FACE,BOB,1
ANGEL FACE,OTHERS TOGETHER,1
BOB,OTHERS TOGETHER,1
BOB,RICKY,1
JACK,OTHERS TOGETHER,1
OTHERS TOGETHER,RICKY,1
BOB,JACOBS,1
BOB,TYLER,1
JACOBS,TYLER,1
JACK,VALET,1
TYLER,VALET,1
JACK,RICKY AND MECHANIC,1
MECHANIC,RICKY AND MECHANIC,1
MECHANIC,TYLER,1
RICKY,RICKY AND MECHANIC,1
RICKY,TYLER,1
RICKY AND MECHANIC,TYLER,1
ALL SPACE MONKEYS,ANGEL FACE,1
ALL SPACE MONKEYS,ANOTHER SPACE MONKEY,1
ALL SPACE MONKEYS,JACK,1
ALL SPACE MONKEYS,MECHANIC,1
ALL SPACE MONKEYS,RICKY,1
ANGEL FACE,ANOTHER SPACE MONKEY,1
ANGEL FACE,MECHANIC,1
ANOTHER SPACE MONKEY,MECHANIC,1
ANOTHER SPACE MONKEY,RICKY,1
BARTENDER,JACK,1
BANDAGED PROPRIETOR,JACK,1
JACK,KITCHEN WORKERS,1
JACK,WOUNDED BARTENDER,1
KITCHEN WORKERS,WOUNDED BARTENDER,1
DESK CLERK,JACK,1
DIFFERENT VOICE,JACK,1
JACK,WAITER,1
MARLA,WAITER,1
BALD DETECTIVE,BALDY,1
BALD DETECTIVE,JACK,1
BALD DETECTIVE,REDHEAD,1
BALD DETECTIVE,REDHEAD DETECTIVE,1
BALD DETECTIVE,STERN,1
BALDY,JACK,1
BALDY,REDHEAD,1
BALDY,REDHEAD DETECTIVE,1
BALDY,STERN,1
JACK,REDHEAD,1
JACK,REDHEAD DETECTIVE,1
JACK,STERN,1
REDHEAD,REDHEAD DETECTIVE,1
REDHEAD,STERN,1
REDHEAD DETECTIVE,STERN,1
ANOTHER SPACE MONKEY,"JACK
                 NO...

                             TYLER",1
ANOTHER SPACE MONKEY,MARLA,1
ANOTHER SPACE MONKEY,SHORT SPACE MONKEY,1
ANOTHER SPACE MONKEY,TALL SPACE MONKEY,1
ANOTHER SPACE MONKEY,TYLER,1
JACK,"JACK
                 NO...

                             TYLER",1
JACK,SHORT SPACE MONKEY,1
JACK,TALL SPACE MONKEY,1
"JACK
                 NO...

                             TYLER",MARLA,1
"JACK
                 NO...

                             TYLER",SHORT SPACE MONKEY,1
"JACK
                 NO...

                             TYLER",TALL SPACE MONKEY,1
"JACK
                 NO...

                             TYLER",TYLER,1
MARLA,SHORT SPACE MONKEY,1
MARLA,TALL SPACE MONKEY,1
SHORT SPACE MONKEY,TALL SPACE MONKEY,1
SHORT SPACE MONKEY,TYLER,1
TALL SPACE MONKEY,TYLER,1
